Sample_Point,Food_Amount,Date,,,
101,0,20210210,,,
102,6,20210210,,,
104,36,20210210,,,
106,18,20210210,,,
101,18,20210211,,,
102,36,20210211,,,
104,6,20210211,,,
106,0,20210211,,,
101,6,20210212,,,
102,18,20210212,,,
104,0,20210212,,,
106,36,20210212,,,
101,36,20210213,,,
102,0,20210213,,,
104,18,20210213,,,
106,6,20210213,,,
101,0,20210218,,,
102,6,20210218,,,
104,36,20210218,,,
106,18,20210218,,,
101,18,20210219,,,
102,36,20210219,,,
104,6,20210219,,,
106,0,20210219,,,
101,6,20210220,,,
102,18,20210220,,,
104,0,20210220,,,
106,36,20210220,,,
101,36,20210221,,,
102,0,20210221,,,
104,18,20210221,,,
106,6,20210221,,,
